,model_a_strength,model_b_divergence,model_c_cointegration
2025-03-06,-0.0009209783839775272,-0.0006293156406172652,1.630804679998327e-05
2025-03-07,0.000161398334758052,0.0005511158005503393,-0.0008075043039759966
2025-03-10,0.0,0.0,6.669696343763189e-05
2025-03-11,-0.0006914870862365038,0.0005133948865017354,0.0
2025-03-12,0.001463428102392922,0.0004824373696907413,0.0
2025-03-13,-0.0004958281360342877,0.00042056101472556383,-3.166953812936451e-05
2025-03-14,-8.685945165764737e-05,-2.6818093559826522e-05,0.0
2025-03-17,1.937859452327561e-05,0.0001570559087327514,9.524911693121372e-05
2025-03-18,0.0003331392884010076,-0.0005600278794535724,0.001175829922263654
2025-03-19,0.0022231632529231154,0.0010789708645784011,-0.00014058787222861563
2025-03-20,0.001987807131748797,0.0,0.0
2025-03-21,0.0070349998230391205,0.0031329966890172737,-9.04574035117977e-05
2025-03-24,0.00032767124615085347,0.0003566573019919408,-0.0007242598300823565
2025-03-25,0.0002895494812426837,2.638947683082159e-06,0.0002897061309786043
2025-03-26,-0.0005957769393236085,0.0,0.0
2025-03-27,0.0003191278730496434,0.00029012048675953453,0.0
2025-03-28,0.00025879635984804345,0.0002576543126159525,0.00012892064938519452
2025-03-31,0.0002788012513752734,0.0007540592820172447,-0.0009081253690935371
2025-04-01,-0.0005355568175585318,-0.0007169858473203691,-0.0010393364471535768
2025-04-02,0.0,0.0,0.00014435102887398345
2025-04-03,0.0003948304914335625,0.0004234516295898528,0.003315361884056587
2025-04-04,0.0008981253874558536,0.0033260280837809336,0.004900290219086473
2025-04-07,-0.003974167362646984,0.002994862572836479,0.00217847709352946
2025-04-08,-0.0030572455237477467,0.0019167853189521185,0.00284275645152264
2025-04-09,-0.0007936385827938417,0.0034572930814944693,0.0043498640756940935
2025-04-10,0.01921077980258787,0.012346926166980058,0.013873991456225981
2025-04-11,0.006250077336436142,0.008402606347696146,0.01022780835999701
2025-04-14,0.0010391328802152632,0.011848950468646313,0.01151627792989318
2025-04-15,-0.0003051303156834252,3.4472900616089102e-06,0.0006658027665094897
2025-04-16,-0.002419611933697073,0.0,0.0
2025-04-17,0.0021210847221351265,0.0008904577522489489,0.0010477841149966632
2025-04-22,0.001003838447323168,2.9645737921288014e-05,9.586081046276972e-05
2025-04-23,-0.0002592414454500242,-4.485161285886852e-05,-0.00028455119304353403
2025-04-24,-0.0008833496724892666,0.0001415818532035391,0.0
2025-04-25,4.737061834390966e-05,0.0,0.0
2025-04-28,-0.00041635842111474065,0.0,0.0
2025-04-29,0.0014990246334191171,6.27614113389913e-05,0.0
2025-04-30,0.00025217622059411026,0.0,0.0
2025-05-01,0.0,0.0,-0.00029085291203593893
2025-05-02,-0.0009002713827905852,0.0012113840978498153,0.0010975579108909008
2025-05-05,-0.0003832544282752165,0.0029823107613867607,0.0
2025-05-06,-0.010332259694897357,-0.04035034848223002,-0.017246696876594633
2025-05-07,0.008380189307568809,0.009738960947821252,0.0014245827642770086
2025-05-08,0.0011693311687401339,-0.004358924382066784,0.0
2025-05-09,-0.0003444069950329004,-0.000991742218687545,-0.0004721680434388235
2025-05-12,0.0006353771470959609,0.00017726932130710188,0.0
2025-05-13,0.00028983296373215567,0.0005996495345977858,0.0
2025-05-14,0.0011967882865527117,0.0007200036302806548,-0.0010671111181820487
2025-05-15,-3.980039965110864e-05,-0.00022765712042535733,0.0006232968328574853
2025-05-16,-0.00047310535263998354,-0.00029994505342875093,-0.0009017891698119523
2025-05-19,-0.00036746201400607504,3.549180023776192e-05,2.102009447634997e-05
2025-05-20,0.0,0.0,0.0
2025-05-21,0.00021680890126798304,-2.3276329403952356e-05,0.00021680890126798304
2025-05-22,-9.474360639287672e-05,0.0006902873773900464,0.0019310631839130773
2025-05-23,0.0011072652381644492,5.994137963649685e-06,0.002605643239395531
2025-05-26,-0.0004466365964141852,0.0,0.0004558559582101674
2025-05-27,0.0005179765496749734,-7.70146293306814e-05,0.0008072259643923752
2025-05-28,0.0,0.0,-0.0001537978546269993
